tank_code,dip_mm,litres
T2,563,2400
T2,564,2406
T2,565,2413
T2,566,2419
T2,567,2425
T2,568,2431
T2,569,2438
T2,570,2444
T2,571,2450
T2,572,2456
T2,573,2463
T2,574,2469
T2,575,2475
T2,576,2481
T2,577,2488
T2,578,2494
T2,579,2500
T2,580,2506
T2,581,2513
T2,582,2519
T2,583,2525
T2,584,2531
T2,585,2538
T2,586,2544
T2,587,2550
T2,588,2556
T2,589,2563
T2,590,2569
T2,591,2575
T2,592,2581
T2,593,2588
T2,594,2594
T2,595,2600
T2,596,2606
T2,597,2613
T2,598,2619
T2,599,2626
T2,600,2632
T2,601,2639
T2,602,2645
T2,603,2652
T2,604,2658
T2,605,2665
T2,606,2671
T2,607,2677
T2,608,2684
T2,609,2690
T2,610,2697
T2,611,2703
T2,612,2710
T2,613,2716
T2,614,2723
T2,615,2729
T2,616,2735
T2,617,2742
T2,618,2748
T2,619,2755
T2,620,2761
T2,621,2768
T2,622,2774
T2,623,2781
T2,624,2787
T2,625,2794
T2,626,2800
T2,627,2807
T2,628,2813
T2,629,2820
T2,630,2827
T2,631,2833
T2,632,2840
T2,633,2847
T2,634,2853
T2,635,2860
T2,636,2867
T2,637,2873
T2,638,2880
T2,639,2887
T2,640,2893
T2,641,2900
T2,642,2907
T2,643,2913
T2,644,2920
T2,645,2927
T2,646,2933
T2,647,2940
T2,648,2947
T2,649,2953
T2,650,2960
T2,651,2967
T2,652,2973
T2,653,2980
T2,654,2987
T2,655,2993
T2,656,3000
T2,657,3007
T2,658,3013
T2,659,3020
T2,660,3027
T2,661,3033
T2,662,3040
T2,663,3047
T2,664,3053
T2,665,3060
T2,666,3067
T2,667,3073
T2,668,3080
T2,669,3087
T2,670,3093
T2,671,3100
T2,672,3107
T2,673,3113
T2,674,3120
T2,675,3127
T2,676,3133
T2,677,3140
T2,678,3147
T2,679,3153
T2,680,3160
T2,681,3167
T2,682,3173
T2,683,3180
T2,684,3187
T2,685,3193
T2,686,3200
T2,687,3207
T2,688,3214
T2,689,3221
T2,690,3228
T2,691,3234
T2,692,3241
T2,693,3248
T2,694,3255
T2,695,3262
T2,696,3269
T2,697,3276
T2,698,3283
T2,699,3290
